superclass_name_linked	superclass_iri	subclass_name	subclass_iri	Analysis	Recommended Mapping	Type of mapping issue	Status
A13 dopaminergic cell group	<http://purl.obolibrary.org/obo/UBERON_0036007>	dopaminergic A13 group	<https://purl.brain-bican.org/ontology/mbao/MBA_796>	OK			
Ammon's horn	<http://purl.obolibrary.org/obo/UBERON_0001954>	hippocampal proper	<https://purl.brain-bican.org/ontology/dhbao/DHBA_10296>	OK			
Ammon's horn	<http://purl.obolibrary.org/obo/UBERON_0001954>	hippocampus (cortex Ammonis)	<https://purl.brain-bican.org/ontology/dmbao/DMBA_16124>	OK			
Ammon's horn	<http://purl.obolibrary.org/obo/UBERON_0001954>	ammon's horn	<https://purl.brain-bican.org/ontology/mbao/MBA_375>	OK			
Ammon's horn	<http://purl.obolibrary.org/obo/UBERON_0001954>	hippocampal proper	<https://purl.brain-bican.org/ontology/pbao/PBA_128012244>	OK			
Barrington's nucleus	<http://purl.obolibrary.org/obo/UBERON_0007632>	Barrington's nucleus	<https://purl.brain-bican.org/ontology/dhbao/DHBA_12506>	OK			
Barrington's nucleus	<http://purl.obolibrary.org/obo/UBERON_0007632>	nucleus of Barrington	<https://purl.brain-bican.org/ontology/dmbao/DMBA_16973>	OK			
Barrington's nucleus	<http://purl.obolibrary.org/obo/UBERON_0007632>	barrington's nucleus	<https://purl.brain-bican.org/ontology/mbao/MBA_280>	OK			
Brodmann (1909) area 10	<http://purl.obolibrary.org/obo/UBERON_0013541>	rostral sulcus	<https://purl.brain-bican.org/ontology/dhbao/DHBA_146034836>	nok	rostral sulcus (http://purl.obolibrary.org/obo/UBERON_0025763)	Add Term	
Brodmann (1909) area 18	<http://purl.obolibrary.org/obo/UBERON_0006473>	parastriate cortex (area V2, area 18)	<https://purl.brain-bican.org/ontology/dhbao/DHBA_10271>	OK			
Brodmann (1909) area 18	<http://purl.obolibrary.org/obo/UBERON_0006473>	parastriate cortex (V2, area 18)	<https://purl.brain-bican.org/ontology/pbao/PBA_10039>	OK			
Brodmann (1909) area 24	<http://purl.obolibrary.org/obo/UBERON_0006101>	anterior cingulate area	https://purl.brain-bican.org/ontology/mbao/MBA_31	nok	anterior cingulate area (http://purl.obolibrary.org/obo/UBERON_0006101)	Not Brodmann in Mouse	Verified
Brodmann (1909) area 32	<http://purl.obolibrary.org/obo/UBERON_0013560>	prelimbic area	https://purl.brain-bican.org/ontology/mbao/MBA_972	nok	prelimbic area (http://purl.obolibrary.org/obo/UBERON_0013560)	Not Brodmann in Mouse	Verified
Brodmann (1909) area 36	<http://purl.obolibrary.org/obo/UBERON_0006104>	perirhinal-ectorhinal cortex	https://purl.brain-bican.org/ontology/dmbao/DMBA_16086	nok		Not Brodmann in Mouse	Wrong
CA1 field of hippocampus	<http://purl.obolibrary.org/obo/UBERON_0003881>	CA1 region of Hipp	<https://purl.brain-bican.org/ontology/dhbao/DHBA_10297>	OK			
CA1 field of hippocampus	<http://purl.obolibrary.org/obo/UBERON_0003881>	Field CA1	<https://purl.brain-bican.org/ontology/dmbao/DMBA_16131>	OK			
CA1 field of hippocampus	<http://purl.obolibrary.org/obo/UBERON_0003881>	CA1 field	<https://purl.brain-bican.org/ontology/hbao/HBA_12892>	OK			
CA1 field of hippocampus	<http://purl.obolibrary.org/obo/UBERON_0003881>	field CA1	<https://purl.brain-bican.org/ontology/mbao/MBA_382>	OK			
CA1 field of hippocampus	<http://purl.obolibrary.org/obo/UBERON_0003881>	CA1 region	<https://purl.brain-bican.org/ontology/pbao/PBA_10058>	OK			
CA1 stratum lacunosum moleculare	<http://purl.obolibrary.org/obo/UBERON_0014557>	Field CA1, stratum lacunosum-moleculare	<https://purl.brain-bican.org/ontology/dmbao/DMBA_16135>	OK			
CA1 stratum lacunosum moleculare	<http://purl.obolibrary.org/obo/UBERON_0014557>	field CA1, stratum lacunosum-moleculare	<https://purl.brain-bican.org/ontology/mbao/MBA_391>	OK			
CA1 stratum lacunosum moleculare	<http://purl.obolibrary.org/obo/UBERON_0014557>	stratum lacunosum-moleculare of CA1	<https://purl.brain-bican.org/ontology/pbao/PBA_10062>	OK			
CA1 stratum oriens	<http://purl.obolibrary.org/obo/UBERON_0014552>	Field CA1, stratum oriens	<https://purl.brain-bican.org/ontology/dmbao/DMBA_16132>	OK			
CA1 stratum oriens	<http://purl.obolibrary.org/obo/UBERON_0014552>	field CA1, stratum oriens	<https://purl.brain-bican.org/ontology/mbao/MBA_399>	OK			
CA1 stratum oriens	<http://purl.obolibrary.org/obo/UBERON_0014552>	stratum oriens of CA1	<https://purl.brain-bican.org/ontology/pbao/PBA_10059>	OK			
CA1 stratum radiatum	<http://purl.obolibrary.org/obo/UBERON_0014554>	Field CA1, stratum radiatum	<https://purl.brain-bican.org/ontology/dmbao/DMBA_16134>	OK			
CA1 stratum radiatum	<http://purl.obolibrary.org/obo/UBERON_0014554>	field CA1, stratum radiatum	<https://purl.brain-bican.org/ontology/mbao/MBA_415>	OK			
CA1 stratum radiatum	<http://purl.obolibrary.org/obo/UBERON_0014554>	stratum radiatum of CA1	<https://purl.brain-bican.org/ontology/pbao/PBA_10061>	OK			
CA2 field of hippocampus	<http://purl.obolibrary.org/obo/UBERON_0003882>	CA2 region of Hipp	<https://purl.brain-bican.org/ontology/dhbao/DHBA_10298>	OK			
CA2 field of hippocampus	<http://purl.obolibrary.org/obo/UBERON_0003882>	Field CA2	<https://purl.brain-bican.org/ontology/dmbao/DMBA_16136>	OK			
CA2 field of hippocampus	<http://purl.obolibrary.org/obo/UBERON_0003882>	CA2 field	<https://purl.brain-bican.org/ontology/hbao/HBA_12893>	OK			
CA2 field of hippocampus	<http://purl.obolibrary.org/obo/UBERON_0003882>	field CA2	<https://purl.brain-bican.org/ontology/mbao/MBA_423>	OK			
CA2 field of hippocampus	<http://purl.obolibrary.org/obo/UBERON_0003882>	CA2 region	<https://purl.brain-bican.org/ontology/pbao/PBA_10063>	OK			
CA2 stratum lacunosum moleculare	<http://purl.obolibrary.org/obo/UBERON_0014558>	Field CA2, stratum lacunosum-moleculare	<https://purl.brain-bican.org/ontology/dmbao/DMBA_16137>	OK			
CA2 stratum lacunosum moleculare	<http://purl.obolibrary.org/obo/UBERON_0014558>	field CA2, stratum lacunosum-moleculare	<https://purl.brain-bican.org/ontology/mbao/MBA_431>	OK			
CA2 stratum lacunosum moleculare	<http://purl.obolibrary.org/obo/UBERON_0014558>	stratum lacunosum-moleculare of CA2	<https://purl.brain-bican.org/ontology/pbao/PBA_10067>	OK			
CA2 stratum oriens	<http://purl.obolibrary.org/obo/UBERON_0014551>	Field CA2, stratum oriens	<https://purl.brain-bican.org/ontology/dmbao/DMBA_16138>	OK			
CA2 stratum oriens	<http://purl.obolibrary.org/obo/UBERON_0014551>	field CA2, stratum oriens	<https://purl.brain-bican.org/ontology/mbao/MBA_438>	OK			
CA2 stratum oriens	<http://purl.obolibrary.org/obo/UBERON_0014551>	stratum oriens of CA2	<https://purl.brain-bican.org/ontology/pbao/PBA_10064>	OK			
CA2 stratum radiatum	<http://purl.obolibrary.org/obo/UBERON_0014555>	Field CA2, stratum radiatum	<https://purl.brain-bican.org/ontology/dmbao/DMBA_16140>	OK			
CA2 stratum radiatum	<http://purl.obolibrary.org/obo/UBERON_0014555>	field CA2, stratum radiatum	<https://purl.brain-bican.org/ontology/mbao/MBA_454>	OK			
CA2 stratum radiatum	<http://purl.obolibrary.org/obo/UBERON_0014555>	stratum radiatum of CA2	<https://purl.brain-bican.org/ontology/pbao/PBA_10066>	OK			
CA3 field of hippocampus	<http://purl.obolibrary.org/obo/UBERON_0003883>	CA3 region of Hipp	<https://purl.brain-bican.org/ontology/dhbao/DHBA_10299>	OK			
CA3 field of hippocampus	<http://purl.obolibrary.org/obo/UBERON_0003883>	Field CA3	<https://purl.brain-bican.org/ontology/dmbao/DMBA_16141>	OK			
CA3 field of hippocampus	<http://purl.obolibrary.org/obo/UBERON_0003883>	CA3 field	<https://purl.brain-bican.org/ontology/hbao/HBA_12894>	OK			
CA3 field of hippocampus	<http://purl.obolibrary.org/obo/UBERON_0003883>	field CA3	<https://purl.brain-bican.org/ontology/mbao/MBA_463>	OK			
CA3 field of hippocampus	<http://purl.obolibrary.org/obo/UBERON_0003883>	CA3 region	<https://purl.brain-bican.org/ontology/pbao/PBA_10068>	OK			
CA3 stratum lacunosum moleculare	<http://purl.obolibrary.org/obo/UBERON_0014559>	Field CA3, stratum lacunosum-moleculare	<https://purl.brain-bican.org/ontology/dmbao/DMBA_16146>	OK			
CA3 stratum lacunosum moleculare	<http://purl.obolibrary.org/obo/UBERON_0014559>	field CA3, stratum lacunosum-moleculare	<https://purl.brain-bican.org/ontology/mbao/MBA_471>	OK			
CA3 stratum lacunosum moleculare	<http://purl.obolibrary.org/obo/UBERON_0014559>	stratum lacunosum-moleculare of CA3	<https://purl.brain-bican.org/ontology/pbao/PBA_10073>	OK			
CA3 stratum lucidum	<http://purl.obolibrary.org/obo/UBERON_0014560>	Field CA3, stratum lucidum	<https://purl.brain-bican.org/ontology/dmbao/DMBA_16144>	OK			
CA3 stratum lucidum	<http://purl.obolibrary.org/obo/UBERON_0014560>	field CA3, stratum lucidum	<https://purl.brain-bican.org/ontology/mbao/MBA_479>	OK			
CA3 stratum lucidum	<http://purl.obolibrary.org/obo/UBERON_0014560>	hippocampal stratum lucidum of CA3	<https://purl.brain-bican.org/ontology/pbao/PBA_10071>	OK			
CA3 stratum oriens	<http://purl.obolibrary.org/obo/UBERON_0014553>	Field CA3, stratum oriens	<https://purl.brain-bican.org/ontology/dmbao/DMBA_16142>	OK			
CA3 stratum oriens	<http://purl.obolibrary.org/obo/UBERON_0014553>	field CA3, stratum oriens	<https://purl.brain-bican.org/ontology/mbao/MBA_486>	OK			
CA3 stratum oriens	<http://purl.obolibrary.org/obo/UBERON_0014553>	stratum oriens of CA3	<https://purl.brain-bican.org/ontology/pbao/PBA_10069>	OK			
CA3 stratum radiatum	<http://purl.obolibrary.org/obo/UBERON_0014556>	Field CA3, stratum radiatum	<https://purl.brain-bican.org/ontology/dmbao/DMBA_16145>	OK			
CA3 stratum radiatum	<http://purl.obolibrary.org/obo/UBERON_0014556>	field CA3, stratum radiatum	<https://purl.brain-bican.org/ontology/mbao/MBA_504>	OK			
CA3 stratum radiatum	<http://purl.obolibrary.org/obo/UBERON_0014556>	stratum radiatum of CA3	<https://purl.brain-bican.org/ontology/pbao/PBA_10072>	OK			
CA4 field of hippocampus	<http://purl.obolibrary.org/obo/UBERON_0003884>	CA4 region of Hipp	<https://purl.brain-bican.org/ontology/dhbao/DHBA_10300>	OK			
CA4 field of hippocampus	<http://purl.obolibrary.org/obo/UBERON_0003884>	CA4 field	<https://purl.brain-bican.org/ontology/hbao/HBA_12895>	OK			
CA4 field of hippocampus	<http://purl.obolibrary.org/obo/UBERON_0003884>	CA4 region	<https://purl.brain-bican.org/ontology/pbao/PBA_10074>	OK			
